Title,Clients last day,Rating,Voters,Price,Kitchen,Location,Boroughs
Doylers 37 NYC,NA,4.1,17,2,Irish,Theater District / Times Square,Manhattan
Sushi Seki - Chelsea,NA,NA,NA,3,Sushi,Gramercy / Flatiron,Manhattan
Failte,NA,NA,NA,2,English,Kips Bay,Manhattan
Entertainment Connection,NA,NA,NA,2,American,Chelsea,Manhattan
Cosme,NA,4.5,2955,4,Contemporary Mexican,Gramercy / Flatiron,Manhattan
Taj - New York,NA,3.2,68,3,French / Indian,Gramercy / Flatiron,Manhattan
Waterfront Ale House,NA,NA,NA,2,Gastro Pub,Kips Bay,Manhattan
Above,NA,3.1,252,4,American,Theater District / Times Square,Manhattan
Dave & Buster's - Times Square,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
ROKI,NA,4.5,121,3,Japanese,Gramercy / Flatiron,Manhattan
Cafe Un Deux Trois,NA,4.1,4391,3,French,Theater District / Times Square,Manhattan
Jimmy's Corner,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
Cafe 45,NA,NA,NA,2,American,Rockefeller Center Midtown,Manhattan
Shiraz Nyc Inc,NA,NA,NA,2,American,Chelsea,Manhattan
Cucina Express - The MetLife Building,NA,NA,NA,2,American,Hell's Kitchen,Manhattan
The Beer Bar,NA,NA,NA,2,Bar / Lounge / Bottle Service,Rockefeller Center Midtown,Manhattan
Freefoods Nyc,NA,NA,NA,2,Vegetarian,Rockefeller Center Midtown,Manhattan
Homes Kitchen,NA,NA,NA,2,Chinese,Gramercy / Flatiron,Manhattan
Slate,NA,3.5,38,2,American,Gramercy / Flatiron,Manhattan
Regional Thai Taste Restaurant,NA,NA,NA,2,Thai,Chelsea,Manhattan
Metronome,NA,NA,NA,2,Mediterranean,Gramercy / Flatiron,Manhattan
Best Thai On Gramercy,NA,NA,NA,2,Thai,Gramercy / Flatiron,Manhattan
Park Italian Gourmet Incorporated,NA,NA,NA,2,Italian,Theater District / Times Square,Manhattan
Aya Sushi,NA,NA,NA,2,Sushi,Theater District / Times Square,Manhattan
Kale,NA,NA,NA,2,Greek,Midtown East,Manhattan
Lombardi's - Chelsea,NA,4.3,26,3,Pizzeria,Chelsea,Manhattan
URBO Kitchens - Permanently Closed,NA,3.8,198,3,Contemporary American,Theater District / Times Square,Manhattan
Test Corporate Name Updates Sep 2021,NA,NA,NA,2,American,NoMad,Manhattan
Test Bbot Lead Conversion,NA,NA,NA,2,American,NoMad,Manhattan
Test Bbot + OT Test v2,NA,NA,NA,2,American,NoMad,Manhattan
Test EP April 1st v2,NA,NA,NA,2,American,NoMad,Manhattan
Downtown - NYC,NA,NA,NA,2,American,NoMad,Manhattan
Test Early Access EM (v7),NA,NA,NA,2,American,NoMad,Manhattan
Test Mickey & Maisy's,NA,NA,NA,2,American,NoMad,Manhattan
Test Trina Demo,NA,NA,NA,2,American,NoMad,Manhattan
Test Non Auto Pay Approval Tpyes,NA,NA,NA,2,American,NoMad,Manhattan
Town House Inn Restaurant,NA,NA,NA,2,American,Murray Hill,Manhattan
El Quijote Bar & Restaurant Incorporated,NA,NA,NA,2,Tapas / Small Plates,Chelsea,Manhattan
Sachi,NA,4.2,78,3,Asian,Murray Hill,Manhattan
Cafe Mofongo,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
Cucina & Co. - MetLife Building,NA,NA,NA,2,Italian,Midtown East,Manhattan
Natsumi Tapas,NA,4.4,216,2,Japanese,Gramercy / Flatiron,Manhattan
Restivo Ristorante,NA,NA,NA,2,Italian,Chelsea,Manhattan
Re Sette,NA,3.8,482,4,Italian,Midtown West,Manhattan
Dallas Bbq,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
Cock and Bull,NA,4.2,151,2,English,Midtown West,Manhattan
Empire Biscuit,NA,NA,NA,2,American,Kips Bay,Manhattan
Fournos Theophilos,NA,4.1,36,2,Greek,Midtown West,Manhattan
Bugis Street Brasserie and Bar Times Square,NA,3.9,94,2,Pan-Asian,Theater District / Times Square,Manhattan
Sai Gon Dep,NA,NA,NA,2,Vietnamese,Murray Hill,Manhattan
Baodega,NA,3.9,8,2,Chinese (Shanghai),Chelsea,Manhattan
Lemon Lime Restaurant,NA,NA,NA,2,American,Chelsea,Manhattan
BLT Prime,NA,4.3,2062,4,Steak,Gramercy / Flatiron,Manhattan
Ihop,NA,NA,NA,2,American,Chelsea,Manhattan
Tir Na Nog Irish Bar & Grill - Times Square,NA,4.2,314,3,American,Midtown West,Manhattan
Hudson Station,NA,3.6,57,3,American,Hell's Kitchen,Manhattan
Big Mama Sushi,NA,NA,NA,2,Sushi,Theater District / Times Square,Manhattan
Dear Irving On Hudson,NA,NA,NA,2,Contemporary American,Midtown West,Manhattan
Farm To Burger,NA,NA,NA,2,Burgers,Theater District / Times Square,Manhattan
Gfic Restaurant,NA,NA,NA,2,Russian,Theater District / Times Square,Manhattan
The Globe,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
season taste,NA,NA,NA,2,Afternoon Tea,Chelsea,Manhattan
Taproom no. 307,NA,NA,1,2,American,Kips Bay,Manhattan
Rin Thai,NA,NA,NA,2,Thai,Chelsea,Manhattan
El Parador,NA,4.4,1105,3,Mexican,Murray Hill,Manhattan
ALEO RESTAURANT GARDEN DINING,NA,3.6,475,3,Italian,Gramercy / Flatiron,Manhattan
Tuttles Bar & Grill,NA,3.6,9,2,Grill,Murray Hill,Manhattan
Boxers Nyc,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
The LCL Bar & Kitchen NYC,NA,3.7,47,2,American,Midtown East,Manhattan
Rohm,NA,NA,NA,2,Asian,Gramercy / Flatiron,Manhattan
La Pizza Fresca Ristorante,NA,4.4,84,2,Contemporary Italian,Gramercy / Flatiron,Manhattan
Patiala Indian Grill,NA,4.4,61,2,Indian,Chelsea,Manhattan
Rezdora,NA,NA,NA,2,Italian,Gramercy / Flatiron,Manhattan
The Roosevelt Grill,NA,3.8,16,2,American,Midtown East,Manhattan
Scopa,NA,4.1,105,2,Italian,Chelsea,Manhattan
Arte Cafe - Chelsea,NA,4.2,84,3,Italian,Chelsea,Manhattan
Momoya,NA,5.0,1,3,Japanese,Chelsea,Manhattan
Red Moon,NA,NA,NA,2,Chinese,Theater District / Times Square,Manhattan
Punch Restaurant,NA,4.0,482,2,American,Gramercy / Flatiron,Manhattan
Wined Up Wine Bar,NA,4.2,176,2,Bar / Lounge / Bottle Service,Gramercy / Flatiron,Manhattan
El Pote,NA,NA,NA,4,Spanish,Murray Hill,Manhattan
élan - Permanently Closed,NA,4.2,322,3,American,Gramercy / Flatiron,Manhattan
Gotham Hotel,NA,NA,NA,4,American,Rockefeller Center Midtown,Manhattan
Champignon,NA,4.1,32,3,Mediterranean,Chelsea,Manhattan
The Gotham Steakhouse,NA,NA,NA,2,Steakhouse,Rockefeller Center Midtown,Manhattan
Taproom No. 307,NA,NA,NA,2,Bar / Lounge / Bottle Service,Kips Bay,Manhattan
Abitino Pizzeria & Restaurant,NA,NA,NA,2,Italian,Murray Hill,Manhattan
Twins Pub Incorporated,NA,NA,NA,2,Grill,Chelsea,Manhattan
McGarry's,NA,3.5,1,2,Irish,Chelsea,Manhattan
Tuttles,NA,NA,NA,2,American,Murray Hill,Manhattan
Patrick's,NA,4.1,208,2,American,Theater District / Times Square,Manhattan
Beecher’s – The Cellar,NA,4.4,82,2,American,Gramercy / Flatiron,Manhattan
Kosher Deluxe,NA,NA,NA,2,Kosher,Rockefeller Center Midtown,Manhattan
Sarashina Horii,NA,NA,NA,2,Japanese,Gramercy / Flatiron,Manhattan
Starlight Deli,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
Merchants NY,NA,NA,NA,2,Contemporary American,Chelsea,Manhattan
Aura Thai - NY,NA,3.9,17,2,Thai,Hell's Kitchen,Manhattan
Adventure Cafe Llc,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
Sushi Zen Inc,NA,NA,NA,2,Sushi,Theater District / Times Square,Manhattan
Macchiato 3 Cafe,NA,NA,NA,2,American,Rockefeller Center Midtown,Manhattan
T45 at Hyatt Centric Times Square,NA,4.0,149,2,American,Theater District / Times Square,Manhattan
Bar 54 at Hyatt Centric Times Square,NA,4.3,304,2,Bar / Lounge / Bottle Service,Theater District / Times Square,Manhattan
Akdeniz,NA,4.2,17,2,Turkish,Midtown West,Manhattan
Skylight Diner,NA,NA,NA,2,American,Chelsea,Manhattan
The Trailer Park Lounge,NA,NA,NA,2,Grill,Chelsea,Manhattan
Big Slice (the),NA,NA,NA,2,Italian,Gramercy / Flatiron,Manhattan
Sergimmo Salumeria,NA,NA,NA,2,Italian,Chelsea,Manhattan
Gramercy Tavern,NA,4.7,8185,4,American,Union Square,Manhattan
Blue,NA,NA,NA,4,Lounge,Theater District / Times Square,Manhattan
Sushi Yasuda,NA,NA,NA,4,Sushi,Turtle Bay,Manhattan
Gotham Bistro,NA,3.1,21,2,American,Theater District / Times Square,Manhattan
Thai Select,NA,4.0,286,2,Thai,Chelsea,Manhattan
Cafe Bravo Inc,NA,NA,NA,2,American,Chelsea,Manhattan
Larb Ubol,NA,NA,NA,3,Thai,Theater District / Times Square,Manhattan
Sala One Nine,NA,4.3,875,2,Spanish,Gramercy / Flatiron,Manhattan
Vinyl Steakhouse,NA,NA,NA,2,Afghan,Chelsea,Manhattan
Flatiron Lounge,NA,NA,NA,4,American,Gramercy / Flatiron,Manhattan
Tacos Guey,NA,NA,NA,2,Mexican,Chelsea,Manhattan
Tavola,NA,4.3,364,2,Italian,Hell's Kitchen,Manhattan
Ninos 46,NA,4.2,1048,2,Contemporary Italian,Midtown West,Manhattan
Volare Restaurant,NA,NA,NA,3,Italian,Theater District / Times Square,Manhattan
Sky Room,NA,3.5,33,2,Contemporary American,Theater District / Times Square,Manhattan
Via Italia Restaurant,NA,3.9,116,2,Italian,Midtown West,Manhattan
La Rotisserie,NA,NA,NA,2,French,NoMad,Manhattan
SONA,NA,NA,NA,2,Indian,NoMad,Manhattan
Oceana Restaurant,NA,NA,NA,2,American,Midtown East,Manhattan
Holland Susan,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
Nur,NA,NA,NA,2,Middle Eastern,Gramercy / Flatiron,Manhattan
County,NA,4.1,255,3,American,Union Square,Manhattan
Bluebell Cafe,NA,4.3,2,3,American,Kips Bay,Manhattan
Counter & Bodega,NA,NA,NA,2,Latin / Spanish,Chelsea,Manhattan
Muze Sazon,NA,NA,NA,2,Brazilian,Chelsea,Manhattan
Tamu Lola - Permanently Closed,NA,4.2,40,2,Tapas / Small Plates,Gramercy / Flatiron,Manhattan
Restaurant TBD - Albany,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
Casa Neta,NA,4.2,37,2,Mexican,Gramercy / Flatiron,Manhattan
Amaze44,NA,3.9,167,2,Asian,Midtown East,Manhattan
Lamarca Pasta Restaurant,NA,NA,NA,2,Italian,Gramercy / Flatiron,Manhattan
Planet Hollywood - Times Square,NA,3.7,633,2,American,Theater District / Times Square,Manhattan
Gramercy Tavern - The Tavern,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
Pig n Whistle-46th St.,NA,4.1,169,2,American,Midtown West,Manhattan
Foundry Kitchen and Bar,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
VSPOT Organic - Gramercy,NA,3.3,6,2,Vegetarian / Vegan,Gramercy / Flatiron,Manhattan
Thai Villa,NA,4.6,154,3,Thai,Gramercy / Flatiron,Manhattan
J Casa NYC,NA,NA,NA,2,Puerto Rican,Theater District / Times Square,Manhattan
Muldoon S Irish Pub,NA,NA,NA,2,Grill,Midtown East,Manhattan
Foritas,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
Cuvee Kitchen,NA,NA,NA,2,Italian,Gramercy / Flatiron,Manhattan
Molly's Pub and Restaurant,NA,5.0,2,3,American,Kips Bay,Manhattan
Lola,NA,NA,NA,3,American,Kips Bay,Manhattan
Cafe Prague,NA,NA,NA,3,American,Gramercy / Flatiron,Manhattan
O'Brien's Irish Pub,NA,3.8,163,2,American,Midtown West,Manhattan
Cibo - Permanently Closed,NA,4.0,637,3,Contemporary American,Murray Hill,Manhattan
Margon Restaurant Corporation,NA,NA,NA,2,Tapas / Small Plates,Midtown West,Manhattan
Le Zie 2000,NA,4.5,241,3,Italian,Chelsea,Manhattan
John's Pizzeria,NA,NA,NA,2,Pizzeria,Theater District / Times Square,Manhattan
Sunny's Best Food,NA,NA,NA,2,Asian,Midtown West,Manhattan
The Collage Bar & Bistro,NA,NA,NA,2,American,Theater District / Times Square,Manhattan
elmo,NA,4.5,798,2,American,Chelsea,Manhattan
Sakagura,NA,4.5,608,4,Japanese,Midtown East,Manhattan
Blake & Todd Restaurant,NA,NA,NA,2,American,Rockefeller Center Midtown,Manhattan
Gramercy Ale House,NA,NA,2,2,American,Gramercy / Flatiron,Manhattan
Les Halles West,NA,NA,NA,2,European,Hell's Kitchen,Manhattan
Le Marais,NA,NA,NA,4,Kosher,Theater District / Times Square,Manhattan
Grand Central Star Cafe,NA,NA,NA,2,American,Midtown East,Manhattan
Sichuan Manor,NA,NA,NA,2,Chinese (Sichuan),Theater District / Times Square,Manhattan
Sammy's House of BBQ - 44th St,NA,3.0,13,2,Barbecue,Theater District / Times Square,Manhattan
Midtown Eatery Inc,NA,NA,NA,2,American,Midtown East,Manhattan
Menchanko-Tei,NA,NA,NA,2,Japanese,Midtown East,Manhattan
Royal Siam Thai Cuisine,NA,4.2,11,2,Thai,Chelsea,Manhattan
Avi Taam Tov Corporation,NA,NA,NA,2,Fusion / Eclectic,Theater District / Times Square,Manhattan
ABC Cocina,NA,4.5,2529,2,Tapas / Small Plates,Union Square,Manhattan
Thai Nam Restaurant,NA,NA,NA,2,Thai,Midtown East,Manhattan
Highbar,NA,3.2,12,2,American,Theater District / Times Square,Manhattan
Tranzit,NA,3.5,4,2,American,Theater District / Times Square,Manhattan
Rolf’s,NA,NA,NA,2,American,Kips Bay,Manhattan
Suzuki,NA,4.3,250,3,Japanese,Theater District / Times Square,Manhattan
Uncle Charlie's,NA,NA,NA,2,American,Midtown East,Manhattan
Oki Poke Ramen,NA,NA,NA,2,Ramen,Midtown East,Manhattan
TBD BBQ Restaurant,NA,NA,NA,2,Barbecue,Midtown East,Manhattan
Crossroads American Kitchen and Bar,NA,4.0,525,2,American,Midtown West,Manhattan
Oaxaca Mexican Grill,NA,NA,NA,2,Mexican,Midtown East,Manhattan
The Bar Room at The Gander,NA,4.3,13,2,American,Gramercy / Flatiron,Manhattan
Soba Totto,NA,NA,NA,3,Japanese,Midtown East,Manhattan
Restaurant Riki,NA,5.0,3,2,Japanese,Midtown East,Manhattan
Gente,NA,4.0,701,3,Italian,Midtown East,Manhattan
MoMo Sushi,NA,4.0,4,3,Sushi,Gramercy / Flatiron,Manhattan
SBar - Manhattan West,NA,NA,NA,2,Bar / Lounge / Bottle Service,Chelsea,Manhattan
Angus' Cafe Bistro,NA,3.6,1072,3,Contemporary American,Theater District / Times Square,Manhattan
Bluestone Lane Manhattan West Café,NA,NA,NA,2,Cafe Dining,Chelsea,Manhattan
Kuruma Zushi,NA,NA,NA,3,Sushi,Midtown East,Manhattan
Katsu-Hama,NA,NA,NA,3,Japanese,Rockefeller Center Midtown,Manhattan
abcV,NA,NA,NA,2,Vegetarian,Union Square,Manhattan
Heritage Grand Bakery,NA,NA,NA,2,American,Hell's Kitchen,Manhattan
M-Thai,NA,NA,NA,2,Thai,Chelsea,Manhattan
Lucky Ace,NA,3.7,22,2,Thai,Hell's Kitchen,Manhattan
Momofuku Nishi,NA,4.5,851,3,Contemporary Italian,Chelsea,Manhattan
Gramercy North,NA,NA,NA,2,American,Gramercy / Flatiron,Manhattan
East Broadway Cafe,NA,NA,NA,2,Regional American (Southern),Theater District / Times Square,Manhattan
Bierhaus NYC,NA,3.8,74,2,German,Midtown East,Manhattan
Sushi Lab - Midtown,NA,NA,NA,2,Sushi,Midtown West,Manhattan
New Fresh Tortillas,NA,NA,NA,2,Mexican,Gramercy / Flatiron,Manhattan
Atomic Wings,NA,NA,NA,2,Grill,Theater District / Times Square,Manhattan
Le Singe Vert,NA,4.2,604,3,French,Chelsea,Manhattan
Taste Of Persia Nyc,NA,NA,NA,2,Middle Eastern,Union Square,Manhattan
Chef & Co,NA,NA,NA,2,American,Union Square,Manhattan
HK Hell's Kitchen,NA,3.3,357,2,Contemporary American,Hell's Kitchen,Manhattan
Sushi Zen,NA,NA,NA,2,Sushi,Midtown West,Manhattan
Calico Jack's Cantina,NA,NA,NA,2,Gastro Pub,Turtle Bay,Manhattan
Taptotech,NA,NA,NA,2,American,Union Square,Manhattan
Union Square Cafe,NA,4.4,6555,4,American,Union Square,Manhattan
Ci Siamo,NA,NA,NA,2,Italian,Chelsea,Manhattan
Blue Ruin,NA,NA,NA,2,American,Hell's Kitchen,Manhattan
ABC Kitchen,NA,4.5,6656,3,Contemporary American,Gramercy / Flatiron,Manhattan
Cosmos Restaurant,NA,NA,NA,2,American,Kips Bay,Manhattan
The Long Acre,NA,NA,NA,2,American,Midtown West,Manhattan
Go Go Thai,NA,NA,NA,3,Thai,Gramercy / Flatiron,Manhattan
Black Sei Turkish Grill Inc,NA,NA,NA,2,Eastern European,Theater District / Times Square,Manhattan
Tabata Noodle Restaurant,NA,NA,NA,2,Japanese,Theater District / Times Square,Manhattan
Coby Club,NA,NA,NA,2,American,Chelsea,Manhattan
Patsy’s Pizzeria,NA,4.1,26,2,Italian,Turtle Bay,Manhattan
Ootoya - Chelsea,NA,NA,NA,2,Cafe Dining,Union Square,Manhattan
Colbeh & Paprika,NA,4.7,1,3,Kosher,Flower District,Manhattan
Maggie's Place,NA,4.2,217,2,Pub,Midtown East,Manhattan
Pergola,NA,4.4,538,2,Mediterranean,Chelsea,Manhattan
Title,Clients last day,Rating,Voters,Price,Kitchen,Location,Boroughs
Arthur Avenue Fiasco,18,4.8,85,0,Italian,Bronx,Bronx
Roberto's Restaurant,15,4.8,899,0,Italian,Bronx,Bronx
Mario's Restaurant - Arthur Ave.,15,4.5,812,0,Italian,Bronx,Bronx
Çka Ka Qëllu,NA,4.3,3,0,Mediterranean,Bronx,Bronx
Enzo's of Williamsbridge,NA,4.7,71,0,Italian,Bronx,Bronx
Suyo Gastrofusion,24,4.7,250,0,Fusion / Eclectic,Bronx,Bronx
Jake's Steakhouse,NA,4.7,1371,0,Contemporary American,Bronx,Bronx
Da' Franco & Tony's Ristorante,NA,4.7,126,0,Italian,Bronx,Bronx
Rosa's at Park,5,4.6,55,0,Latin American,Bronx,Bronx
Mama Sushi - Bronx,1,4.6,22,0,Sushi,Bronx,Bronx
Yukka Latin Bistro,5,4.7,18,0,Latin / Spanish,Bronx,Bronx
Red Lobster - Bronx,NA,3.0,2,0,Seafood,City Island,Bronx
VISTAMAR,NA,4.3,214,0,Latin American,Bronx,Bronx
Sea Shore Restaurant & Marina,NA,4.2,415,0,Seafood,Bronx,Bronx
Icehouse Italian Waterfront Restaurant,NA,4.1,70,0,Italian,Bronx,Bronx
Sammy's Shrimp Box,NA,4.3,159,0,Seafood,Bronx,Bronx
Hudson Garden Grill at the New York Botanical Garden,NA,4.6,2311,0,Contemporary American,Bronx,Bronx
Emilia's Restaurant,12,4.6,158,0,Italian,Bronx,Bronx
San Gennaro,NA,4.5,101,0,Italian,Bronx,Bronx
Casa Del Mar - Bronx,2,3.9,37,0,Seafood,Bronx,Bronx
Hard Rock Cafe - Yankee Stadium,NA,4.2,263,0,American,Bronx,Bronx
The Waterfront NYC,3,4.4,212,0,Contemporary American,Bronx,Bronx
NYY Steak - Yankee Stadium,1,4.3,1533,0,Steakhouse,Bronx,Bronx
Sammy's Fish Box,NA,4.2,998,0,Seafood,Bronx,Bronx
El Nuevo Valle,NA,NA,NA,0,Mexican,Bronx,Bronx
China Town Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Dkora Restaurant,NA,NA,NA,0,Tapas / Small Plates,Bronx,Bronx
Mothers Cooking,NA,NA,NA,0,American,Bronx,Bronx
Chen's Foo Hai,NA,NA,NA,0,Chinese,Bronx,Bronx
Betty's Bar & Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Joe & Tonys Pizza Llc,NA,NA,NA,0,Italian,Bronx,Bronx
El Batey Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
10:02 Lounge & Restaurant,NA,NA,NA,0,Lounge,Bronx,Bronx
Nuevo Bohio,NA,NA,NA,0,Latin American,Bronx,Bronx
Jimbos Hamburger Palace,NA,NA,NA,0,Burgers,Bronx,Bronx
Cosmos Restaurant,NA,NA,NA,0,Italian,Bronx,Bronx
Bar Restaurant El Salvadoreno,NA,NA,NA,0,Grill,Bronx,Bronx
El Rinconsito Sports Bar Restaurant,NA,NA,NA,0,Grill,Bronx,Bronx
Dragon Sea Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Lucky Chinese Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
New Rainbow Chinese Rest.,NA,NA,NA,0,Grill,Bronx,Bronx
Dragon City,NA,NA,NA,0,Chinese,Bronx,Bronx
Nuevo Renacer Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Number 1 Luck Sung Restaurnat In,NA,NA,NA,0,Chinese,Bronx,Bronx
Las Orquidias Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
La Torre Restaurant & Bar,NA,NA,NA,0,Grill,Bronx,Bronx
Antonios Trattoria,NA,NA,NA,0,Italian,Bronx,Bronx
Shila Bar & Grill,NA,NA,NA,0,Grill,Bronx,Bronx
Valentina's Cafe,NA,NA,NA,0,American,Bronx,Bronx
Wah Mee Chinese Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
El Nuevo Pollo Sabroso Two,NA,NA,NA,0,Mexican,Bronx,Bronx
Ricky & Sepi Sport Cafe,NA,NA,NA,0,American,Bronx,Bronx
Lucky 7 Fish,NA,NA,NA,0,Seafood,Bronx,Bronx
Taco Rey,NA,NA,NA,0,Mexican,Bronx,Bronx
Cafe Almercato,NA,NA,NA,0,American,Bronx,Bronx
Rigoletto Pasquale,NA,NA,NA,0,Italian,Bronx,Bronx
Fine Food Cuisine,NA,NA,NA,0,American,Bronx,Bronx
Gudas Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Prishtina Restaurant,NA,NA,NA,0,Mediterranean,Bronx,Bronx
Jamaica One Stop Restaurant,NA,NA,NA,0,Caribbean,Bronx,Bronx
Golden City Restaurant,NA,NA,NA,0,American,Bronx,Bronx
La Estellita Poblana 3,NA,NA,NA,0,Mexican,Bronx,Bronx
Emilias Restaurant,NA,NA,NA,0,Italian,Bronx,Bronx
Trattoria Tra Di Noi,NA,NA,NA,0,Italian,Bronx,Bronx
Istanbul Cafe,NA,NA,NA,0,American,Bronx,Bronx
Dominicks Restaurant,NA,NA,NA,0,Italian,Bronx,Bronx
Morris Park Restaurant Inc,NA,NA,NA,0,American,Bronx,Bronx
Oasis Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Mike And Sons Deli,NA,NA,NA,0,Italian,Bronx,Bronx
Enzo's,NA,NA,NA,0,Italian,Bronx,Bronx
Joy Garden Chinese Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Rancho Estrella Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
Casa De Restauracion Puerta Del Cielo,NA,NA,NA,0,Mexican,Bronx,Bronx
El Diamante Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
Quisqueya Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
Gerbasi Ristorante,NA,4.5,9,0,Italian,Bronx,Bronx
Maria S Bar & Restaurant,NA,NA,NA,0,Grill,Bronx,Bronx
Jimbo Hamburgers,NA,NA,NA,0,Burgers,Bronx,Bronx
New Hong Kong Kitchen,NA,NA,NA,0,Chinese,Bronx,Bronx
D R Restaurant Bar,NA,NA,NA,0,Grill,Bronx,Bronx
Ann & Tony's Restaurant,NA,NA,NA,0,Italian,Bronx,Bronx
Malesia Cafe,NA,NA,NA,0,American,Bronx,Bronx
Yummy's Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Champs Bar & Grill,NA,NA,NA,0,Grill,Bronx,Bronx
Chinese Five Star Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Cafe Colonial Restaurant And Grill,NA,NA,NA,0,Tapas / Small Plates,Bronx,Bronx
Five Star Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Archer Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Michaelangelo?s Little Italy,NA,NA,NA,0,Italian,Bronx,Bronx
Rocco?s Uptown Pizza & Pasta,NA,NA,NA,0,Italian,Bronx,Bronx
Ming Garden Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
The Grill House,NA,NA,NA,0,Grill,Bronx,Bronx
Shahi Kabab & Curry Rest.,NA,NA,NA,0,American,Bronx,Bronx
Chick-n-ribs,NA,NA,NA,0,Barbecue,Bronx,Bronx
Park Avenue Collision,NA,NA,NA,0,American,Bronx,Bronx
La Pentola,NA,NA,NA,0,Italian,Bronx,Bronx
Caribe On Broadway,NA,NA,NA,0,American,Bronx,Bronx
50 50 Deli & Grill Col,NA,NA,NA,0,American,Bronx,Bronx
Domingo's Cafe,NA,NA,NA,0,American,Bronx,Bronx
Tu Sabor Restaurant Corp,NA,NA,NA,0,Mexican,Bronx,Bronx
Chelito Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
Joes Pizza,NA,NA,NA,0,Italian,Bronx,Bronx
Fu Xing Chinese Resturant,NA,NA,NA,0,Chinese,Bronx,Bronx
University Pizza & Restaurant,NA,NA,NA,0,Italian,Bronx,Bronx
Lydig Coffee House Incorporated,NA,NA,NA,0,American,Bronx,Bronx
Tacopeton,NA,NA,NA,0,Mexican,Bronx,Bronx
Kennedy Chicken,NA,NA,NA,0,Grill,Bronx,Bronx
La Estre Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
The Point,NA,NA,NA,0,American,Bronx,Bronx
Digirolamo M J,NA,NA,NA,0,Grill,Bronx,Bronx
Jerusalem Cafe,NA,NA,NA,0,American,Bronx,Bronx
Thai No 1,NA,NA,NA,0,Thai,Bronx,Bronx
F & J Pine Restaurant,NA,NA,NA,0,American,Bronx,Bronx
El Lider Bar & Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
Legends Bar & Restaurant,NA,NA,NA,0,Grill,Bronx,Bronx
La Casa Del Marisco,NA,NA,NA,0,Seafood,Bronx,Bronx
Rainbow Three Restaurant,NA,NA,NA,0,American,Bronx,Bronx
Caribbean Dutch Pot Corp.,NA,NA,NA,0,Caribbean,Bronx,Bronx
Lorenzo Taurino,NA,NA,NA,0,Mexican,Bronx,Bronx
Lechonera El Pollo,NA,NA,NA,0,Mexican,Bronx,Bronx
Wally's Seafood,NA,NA,NA,0,Seafood,Bronx,Bronx
Restuarant Con Sabor A Mexico,NA,NA,NA,0,Mexican,Bronx,Bronx
Fiesta Maya Mexican Rest.,NA,NA,NA,0,Mexican,Bronx,Bronx
El Pabellon De Oro,NA,NA,NA,0,Fusion / Eclectic,Bronx,Bronx
El Conquistador Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
New Wah Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Hot Spot,NA,NA,NA,0,American,Bronx,Bronx
La Estrella Del Nuevo Milenio,NA,NA,NA,0,Mexican,Bronx,Bronx
Kee Wong Restaurant,NA,NA,NA,0,Chinese,Bronx,Bronx
Commercial Mexicana Restaurant,NA,NA,NA,0,Mexican,Bronx,Bronx
El Potrillo,NA,NA,NA,0,American,Bronx,Bronx
The Flying Dragon,NA,NA,NA,0,Chinese,Bronx,Bronx
Thegarden Cafe,NA,NA,NA,0,American,Bronx,Bronx
