Title,Rating TripAvisdor,Voters TripAvisdor
Piccola Cucina Osteria,4.5,2579
LandShark Bar & Grill - Times Square,5.0,4
 Trattoria Trecolori,4.5,2747
 Beecher's Handmade Cheese,4.5,280
 The Capital Grille,4.5,1353
 Cafe Mogador,4.5,558
 Forlini's Restaurant,4.5,743
Quality Bistro,4.5,30
 Il Gattopardo,4.5,747
 Peacefood Cafe,4.5,341
 STATE Grill and Bar,4.5,338
 Samba Kitchen,4.5,150
 John's of Bleecker Street,4.5,1803
Quality Meats,4.5,2378
 Fiat Cafe,4.5,365
 Masseria Dei Vini,4.5,592
 Uncle Paul's Pizza,4.5,811
 Andrew's Coffee Shop,4.5,2237
 Luzzo’s,4.5,333
Piccola Cucina Osteria,4.5,2579
 The Polo Bar,4.5,642
 Via Brasil Restaurant,4.5,473
 Benjamin Steakhouse Prime,4.5,289
 Black Tap,4.5,830
 Sean's Bar And Kitchen,4.5,418
Margaritaville Restaurant- Times Square,3.5,12
 Hourglass Tavern,4.5,515
 Pisticci,4.5,276
 Toscana 49,4.5,681
 The Bluebell Cafe,4.5,268
 Westway Diner,4.5,2293
5 o'Clock Somewhere Bar,4.0,4
 Margon,4.5,202
 Franchia Vegan Cafe,4.5,396
 Red Farm,4.5,663
 Crave Fishbar,4.5,443
 Delmonico's,4.5,1021
ICHIRAN Times Square,4.5,59
LandShark Bar & Grill - Times Square,5.0,4
 The MasalaWala,4.5,403
 Dudley's,4.5,284
 VIV Thai Restaurant and Bar,4.5,268
 Jean Georges,4.5,1957
 Trattoria Pesce Pasta,4.5,210
5 o'Clock Somewhere Bar,4.0,4
 Tamarind - Tribeca,4.5,736
 Taboon,4.5,403
 Bagel Express,4.5,214
 15 EAST @ Tocqueville,4.5,451
 Jimmy's Corner,4.5,510
Margaritaville Restaurant- Times Square,3.5,12
 Palma,4.5,436
 Via Carota,4.5,368
 Coppelia,4.5,395
 Sakagura,4.5,492
 Senza Gluten,4.5,466
Quality Italian,4.0,833
 Cookshop,4.5,1105
 Nomo Soho Restaurant,4.5,405
 Le CouCou Restaurant,4.5,527
 Victor's Cafe,4.5,1614
 Beyond Sushi,4.5,234
Piccola Cucina Osteria,4.5,2579
 Union Square Cafe,4.5,1357
 Sweet Chick,4.5,290
 Estiatorio Milos - Midtown New York,4.5,1555
 The Meatball Shop - Hell's Kitchen,4.5,1091
 Batard,4.5,334
Quality Bistro,4.5,30
 Veselka,4.5,1027
 Birdland,4.5,356
 Cuba,4.5,471
 Gotham Bar & Grill,4.5,1750
 Ivan Ramen,4.5,453
Quality Meats,4.5,2378
Quality Bistro,4.5,30
 Hillstone Midtown,4.5,456
 Excellent Dumpling House,4.5,712
 Boulud Sud,4.5,918
 The Landmark Tavern,4.5,372
 Red Farm,4.5,401
Famous Amadeus Pizza,4.0,44
 Rainbow Room,4.5,699
 Upland,4.5,630
 Decoy Bar,4.5,188
 Buddakan,4.5,5370
 Stage Door Deli,4.5,515
Piccola Cucina Osteria,4.5,2579
 The Perfect Pint,4.5,1306
 Gyu-Kaku Japanese BBQ,4.5,392
 Avra Madison Estiatorio,4.5,348
 Bubby's,4.5,1543
 Morimoto,4.5,1569
LandShark Bar & Grill - Times Square,5.0,4
 Faces and Names,4.5,303
 Aquavit,4.5,557
 The Standard Biergarten,4.0,438
 Bistro Les Amis,4.5,377
 New York Luncheonette,4.5,1122
Margaritaville Restaurant- Times Square,3.5,12
 Artichoke Basille's Pizza,4.5,712
 Joe's Pizza,4.5,462
 St. Cloud Rooftop,4.5,323
 Amma,4.5,430
 Capizzi,4.5,1752
ICHIRAN Times Square,4.5,59
 Mighty Quinn's Barbeque,4.5,663
 Osteria Morini,4.5,755
 Danji,4.5,503
 Hama Japanese Cuisine,4.5,182
 Carmine's Italian Restaurant - Times Square,4.5,12358
Quality Italian,4.0,833
ICHIRAN Times Square,4.5,59
 Eisenberg's Sandwich Shop,4.5,573
 The Marshal,4.5,305
 Morton's The Steakhouse,4.5,1173
 La Masseria,4.5,1926
 Robert,4.5,1646
Margaritaville Restaurant- Times Square,3.5,12
 Jack's Wife Freda,4.5,946
 Benjamin Steakhouse,4.5,2453
 Boqueria,4.5,641
 Bond Street,4.5,358
 Eleven Madison Park,4.5,2604
Quality Italian,4.0,833
 ABA Turkish Restaurant,4.5,302
 Naruto Ramen,4.5,194
