Title,Rating TripAvisdor,Voters TripAvisdor
 The Lambs Club,4.0,932
 Bill's Bar & Burger,4.0,3473
 Wagamama,4.0,247
 Topaz Thai Restaurant,4.0,714
Margaritaville Restaurant- Times Square,3.5,12
Margaritaville Restaurant- Times Square,3.5,12
 Mom's Kitchen & Bar,4.5,163
 Bread & Butter,4.5,160
 One World Observatory Restaurant,4.0,398
 New Wonjo Restaurant,4.0,458
 Nano Ecuadorian Kitchen,4.5,109
LandShark Bar & Grill - Times Square,5.0,4
 Bocado Wine Bar & Restaurant,4.0,207
 Maria Pia,4.0,738
 Please Don't Tell,4.0,481
 Pascalou,4.5,252
 Bluestone Lane,4.5,177
ICHIRAN Times Square,4.5,59
 Pokeworks,4.5,132
 Brooklyn Diner,4.0,2859
 Frankie & Johnnie's Steakhouse,4.0,353
 Kellari Taverna NY,4.0,907
 Yakitori Totto,4.5,310
Quality Bistro,4.5,30
 Le Bateau Ivre,4.5,295
 Maison Harlem,4.5,181
 Cafe Manhattan,4.5,175
 Beer Culture,4.5,193
 TAO Uptown,4.0,3663
Quality Meats,4.5,2378
 Banc Cafe,4.5,176
 The Butcher's Daughter,4.0,798
 Wollensky's Grill,4.0,312
 MEXiCUE,4.0,191
 Tonchin,4.5,79
Piccola Cucina Osteria,4.5,2579
 Le Botaniste,4.5,85
 Playwright Irish Pub,4.0,717
 Viand Cafe,4.0,811
 Shanghai Asian Cuisine,4.5,278
 Il Piccolo Bufalo,4.0,435
Maison Bangkok,3.5,6
Margaritaville Restaurant- Times Square,3.5,12
 The Red Flame Diner,4.0,2371
 Blue Fin,4.0,2012
 Zen Ramen & Sushi,4.5,156
 Premier Cafe,4.0,373
 Astro Restaurant,4.0,815
Quality Bistro,4.5,30
 Lido Harlem,4.5,217
 Meme Mediterranean,4.5,197
 The Consulate,4.5,77
 Fat Cat,4.5,200
 Judge Roy Bean Public House,4.5,156
Piccola Cucina Osteria,4.5,2579
 Obica Mozzarella Bar - Flatiron,4.0,280
 Clement at The Peninsula New York,4.5,231
 Greek Kitchen,4.0,281
 Ootoya,4.5,205
 Docks Oyster Bar,4.0,635
Quality Italian,4.0,833
 Scarlatto,4.0,872
 Sushi Nakazawa,4.5,286
 Paesano of Mulberry Street,4.0,770
 Bread & Tulips,4.0,254
 Elmo,4.0,306
LandShark Bar & Grill - Times Square,5.0,4
 Bond 45 Italian Kitchen & Bar,4.0,1476
 Mad Dog & Beans Mexican Cantina,4.0,304
 Aunt Jake's NYC,4.0,260
 Sen Sakana,4.5,161
 Hundred Acres,4.0,294
Quality Meats,4.5,2378
 The Dutch,4.0,849
 Pampano New York,4.0,340
 JG Melon,4.0,832
 Babbo Ristorante e Enoteca,4.0,1947
 Alta,4.0,448
5 o'Clock Somewhere Bar,4.0,4
Quality Bistro,4.5,30
 la bonbonniere,4.5,176
 Junoon Restaurant,4.0,730
 The Rag Trader,4.5,140
 il Buco Alimentari,4.0,433
 Friend of a Farmer,4.0,529
Famous Amadeus Pizza,4.0,44
 Skylight Diner,4.0,804
 Black Barn,4.0,242
 Ella Social,4.5,160
 Little Park,4.5,223
 Coppola's,4.5,172
Margaritaville Restaurant- Times Square,3.5,12
 Bubba Gump Shrimp Co.,4.0,13153
 Todd English at The Plaza,4.0,301
 Nom Wah Tea Parlor,4.0,940
 Gemma,4.0,450
 Cafe Gitane,4.0,344
Piccola Cucina Osteria,4.5,2579
 Serafina Time Hotel,4.0,558
 cafeteria,4.0,709
 Manzo,4.0,417
 Tiny's & The Bar Upstairs,4.0,268
 Sinigual,4.0,411
5 o'Clock Somewhere Bar,4.0,4
 Remedy Diner,4.0,272
 EJ's Luncheonette,4.0,257
 Peasant,4.0,373
 Brother Jimmy's BBQ,4.0,423
 La Mirabelle,4.5,208
Quality Meats,4.5,2378
 Asuka Japanese Fusion & Lounge,4.5,137
 Le Pain Quotidien,4.0,1100
 Empire Steak House,4.0,889
 Mary's Fish Camp,4.5,262
 Community Food & Juice,4.0,284
LandShark Bar & Grill - Times Square,5.0,4
Quality Italian,4.0,833
 Russian Vodka Room,4.5,184
 BXL Zoute,4.5,128
 Agern,4.5,211
 Dirty French,4.0,411
 Norma's,4.0,1497
Quality Bistro,4.5,30
 The Spotted Pig,4.0,2306
 Sarabeth's,4.0,733
 Wolfgang's Steakhouse - Tribeca,4.0,334
 Antoya BBQ,4.5,84
 Food Gallery 32,4.5,135
LandShark Bar & Grill - Times Square,5.0,4
 Valbella,4.5,245
 Le Coq Rico NYC,4.5,244
 Tender Restaurant,4.0,284
 Upstairs at the Kimberly,4.0,361
 Lips,4.0,331
Piccola Cucina Osteria,4.5,2579
 The Boil,4.5,207
 Paola's Restaurant,4.0,303
 Cacio e Pepe,4.5,182
 Lexington Candy Shop,4.0,285
 Bryant Park Grill,4.0,1785
Margaritaville Restaurant- Times Square,3.5,12
 Morning Star Restaurant,4.0,468
 Uncle Jack’s Steakhouse Westside,4.0,677
 Jack's Wife Freda,4.5,188
 Lexington Brass,4.0,819
 Beer Authority,4.0,833
5 o'Clock Somewhere Bar,4.0,4
 Omai,4.5,142
 Sacco Pizza,4.5,126
 Little Beet,4.5,181
 The Simone,4.5,111
 Little Italy Pizza,4.5,214
Famous Amadeus Pizza,4.0,44
Quality Meats,4.5,2378
 Redeye Grill,4.0,1153
 Wondee Siam I,4.5,163
 Sarabeth's,4.0,521
 Bar Boulud,4.0,916
 Nippori,4.5,190
Margaritaville Restaurant- Times Square,3.5,12
 Cafe Un Deux Trois,4.0,1648
 LA SIRENE,4.5,188
 Sarabeth's,4.0,3341
 Sardi's Restaurant,4.0,2053
 Sarabeth's,4.0,451
LandShark Bar & Grill - Times Square,5.0,4
 Great Northern Food,4.5,177
 Wolfgang's Steakhouse,4.0,1045
 Utsav Restaurant,4.0,608
 Pomodoro Rosso,4.0,348
 Bill's Bar & Burger,4.0,951
5 o'Clock Somewhere Bar,4.0,4
 Empire Diner,4.0,421
 Bann,4.0,276
 Europa Cafe,4.0,379
 Dalton's Bar & Grill,4.5,157
 Basta Pasta,4.5,283
ICHIRAN Times Square,4.5,59
 Arno Ristorante,4.0,406
 Dos Caminos,4.0,442
 King Cole Bar,4.5,267
 Turkish Kitchen,4.5,330
 Le Pain Quotidien,4.0,1128
Famous Amadeus Pizza,4.0,44
 Puglia Restaurant,4.0,481
 LAVO Italian Restaurant,4.0,950
 Caviar Russe,4.5,132
 Miss Lily's,4.0,285
 The Fat Radish,4.0,252
Quality Italian,4.0,833
Quality Bistro,4.5,30
 City Sandwich,4.5,116
 Nice Matin,4.0,929
 Stout,4.0,437
 Kings of Kobe,4.5,61
 Corner Bistro,4.0,1082
Margaritaville Restaurant- Times Square,3.5,12
 Cara Mia,4.0,537
 Ben's Kosher Delicatessen Restaurant & Caterers,4.0,935
 Tonic Times Square,4.0,210
 Aldo Sohm Wine Bar,4.5,151
 Stella 34 Trattoria,4.0,1053
ICHIRAN Times Square,4.5,59
 Rue 57,4.0,2513
 Foragers,4.5,198
 Claudette,4.0,216
 Hide-Chan Ramen Midtown East,4.0,182
 Baker & Co,4.5,148
Quality Meats,4.5,2378
 Becco,4.0,4269
 Skyline Gourmet Deli,4.5,110
 Cascade Cafe,4.5,157
 Chipotle Mexican Grill,4.0,271
 Hearth,4.0,290
LandShark Bar & Grill - Times Square,5.0,4
 Playwright Celtic Pub,4.0,943
 Dafni Greek Taverna,4.0,633
 Europa Cafe,4.0,608
 Dim Sum Go Go,4.0,431
 Little Beet Table,4.5,133
Famous Amadeus Pizza,4.0,44
 Don Angie,4.5,68
 L’amico,4.0,460
 Toloache Upper East Side,4.5,177
 Rosie O'Grady's,4.0,2220
 Sam's Place,4.0,295
Quality Italian,4.0,833
Piccola Cucina Osteria,4.5,2579
 The Dining Room,4.5,274
 Gyu-Kaku Japanese BBQ,4.0,234
 Trademark Taste + Grind,4.5,180
 Kiki’s,4.5,162
 Periyali,4.5,213
Quality Meats,4.5,2378
 Cosmic Diner,4.0,1036
 Tarallucci e Vino Union Square,4.0,211
 Shorty's,4.5,173
 Tia Pol,4.5,245
 P.J. Clarke's on the Hudson,4.0,476
Quality Bistro,4.5,30
 L'Adresse,4.0,199
 Supper Restaurant,4.0,241
 Miss Korea BBQ,4.0,613
" Grand Central Oyster Bar, Inc.",4.0,4943
 La Nonna Restaurant,4.0,540
5 o'Clock Somewhere Bar,4.0,4
 Oscar Wilde Restaurant & Bar,4.0,191
 Bodrum Mediterranean Restaurant,4.0,171
 Square Diner,4.0,214
 Uno Pizzeria & Grill,4.0,404
 La Mela Ristorante,4.0,863
LandShark Bar & Grill - Times Square,5.0,4
 Joe G's Restaurant Italiano,4.0,208
 Marcony,4.5,213
 Cherche Midi,4.0,224
 Smith & Wollensky,4.0,3294
 The Soho Grand Bar & Lounge,4.5,168
Margaritaville Restaurant- Times Square,3.5,12
 Butter Midtown,4.0,1039
 Il Posto Accanto,4.5,96
 Empellon Al Pastor @ Pod 39,4.0,260
 Briciola,4.5,267
 Fine and Rare,4.5,110
Quality Italian,4.0,833
Margaritaville Restaurant- Times Square,3.5,12
 Carbone,4.0,461
 Arriba Arriba Mexican Restaurant,4.0,349
 Numero 28 Pizzeria Napoletana,4.5,183
 Ponche Taqueria & Cantina,4.5,90
 Trattoria Italienne,4.5,66
LandShark Bar & Grill - Times Square,5.0,4
 Brasserie 1605 at the Crowne Plaza Times Square,4.0,386
 Il Corallo Trattoria,4.0,274
 Amsterdam Ale House,4.0,338
 St Tropez West Village,5.0,59
 Dos Caminos,4.0,758
Quality Meats,4.5,2378
 Jacob Restaurant,4.5,112
 Rancho Tequileria,4.0,169
 Bar Primi,4.0,215
 Epistrophy,4.0,195
 Le Grainne Cafe,4.0,238
5 o'Clock Somewhere Bar,4.0,4
 Cardoncello diVino,5.0,57
 KazuNori,4.5,77
 Emily - West Village,4.5,118
 The Grange Bar & Eatery,4.5,195
 Burger & Barrel,4.0,282
Maison Bangkok,3.5,6
 The Bread Factory Cafe,4.0,221
 Pera Mediterranean Brasserie,4.0,330
 Sushi of Gari 46,4.0,358
 Red Lobster,4.0,3626
 Porteno,4.5,172
Quality Italian,4.0,833
 Vic's,4.5,143
 Inatteso Pizzabar,4.5,226
 Fresh and Co.,4.5,207
 Storico,4.0,238
 John's of 12th Street,4.0,333
ICHIRAN Times Square,4.5,59
5 o'Clock Somewhere Bar,4.0,4
 The Jeffrey Craft Beer Bar and Bites,4.5,103
 Santina,4.0,479
 Freddie and Pepper's,4.5,192
 Naya Mezze & Grill,4.5,195
 Jubilee,4.5,248
Quality Bistro,4.5,30
 Harry Cipriani,4.0,633
 Melba's Restaurant,4.5,209
 Cosme,4.0,859
 Russian Samovar,4.0,323
 District Tap House,4.0,204
Piccola Cucina Osteria,4.5,2579
 Pig and Khao,4.5,170
 Iron Bar & Lounge,4.0,499
 Mercury Bar,4.5,158
 BCD Tofu House,4.0,236
 P.J. Clarke's,4.0,1181
Quality Italian,4.0,833
 Sergimmo Salumeria,4.5,139
 Serafina Fabulous Pizza 79th,4.0,356
 Malatesta Trattoria,4.5,238
 Treehaus,4.0,246
 MarkJoseph Steakhouse,4.5,210
Quality Meats,4.5,2378
 Pret A Manger,4.0,176
 Gaby Brasserie Francaise,4.0,328
 Apotheke,4.5,289
 Brooklyn Diner,4.0,2118
 The Bar Room,4.5,142
Maison Bangkok,3.5,6
 Mama Mia 44sw,4.0,281
 Rice 'N' Beans,4.5,172
 Smithfield Hall,4.5,121
 dell'anima,4.5,176
 MEXiCUE,4.0,146
Famous Amadeus Pizza,4.0,44
ICHIRAN Times Square,4.5,59
 Tuscany Steakhouse,4.5,103
 Westville West,4.5,173
 Pergola Des Artistes,4.0,352
 Tacombi,4.0,172
 Wine 30,4.5,214
Quality Bistro,4.5,30
 Salon de Ning ROOFTOP,4.0,305
 Lil' Frankie's,4.0,220
 Pera Soho,4.0,274
 Friedman's,4.5,140
 Patiala Indian Grill,4.5,102
LandShark Bar & Grill - Times Square,5.0,4
 Root & Bone,4.0,207
 Olive Garden Italian Restaurant,4.0,4501
 Covina,4.5,147
 The Wild Son,4.5,61
 Speedy Deli,4.5,184
Margaritaville Restaurant- Times Square,3.5,12
 Iguana New York,4.0,560
 Blue Note,4.0,1368
 Harney & Sons Soho,4.5,110
 Trattoria Bianca,4.0,299
 Charlie Palmer Steak NYC,4.0,258
Quality Italian,4.0,833
 ONE Dine,4.0,278
 Sal's Little Italy,4.0,288
 Isle of Capri,4.5,229
 Blarney Rock Pub,4.5,225
 La Boite en Bois,4.0,262
Quality Meats,4.5,2378
 Petit Poulet,4.0,388
 Don Filippo Restaurant,4.5,105
 Theatre Row Diner,4.0,490
 Sauce & Barrel,4.0,140
 Deep Indian Kitchen,4.5,128
5 o'Clock Somewhere Bar,4.0,4
Margaritaville Restaurant- Times Square,3.5,12
 The View Restaurant & Lounge,4.0,5698
 Brasserie Cognac,4.0,576
 Boqueria,4.0,150
 Old Town Bar,4.0,179
 Woorijip,4.0,179
Quality Italian,4.0,833
 Madison & Vine,4.0,537
 I Sodi,4.5,212
 Darbar,4.0,328
 Peking Duck House,4.0,719
 GMT Tavern,4.5,192
Piccola Cucina Osteria,4.5,2579
 Scallywags Irish Pub and Restaurant,4.5,225
 Extra Virgin,4.0,343
 Cask Bar + Kitchen,4.5,136
 Harlem Tavern,4.0,374
 Kefi,4.0,416
LandShark Bar & Grill - Times Square,5.0,4
 Bobby Van's Steak House,4.0,253
 Deux AMIS,4.5,144
 the Junction,4.5,112
 Hendriks,4.0,194
 Barbalu Restaurant,4.5,155
Quality Bistro,4.5,30
 Cha Pa's Noodles & Grill,4.5,145
 Buddha Bodai Kosher Vegetarian Restaurant,4.5,177
 Izakaya NoMad,4.5,98
 Reichenbach Hall,4.0,387
 Empellon Taqueria,4.0,200
5 o'Clock Somewhere Bar,4.0,4
 The Churchill,4.5,134
 Pax Wholesome Foods,4.0,247
 The Breslin,4.0,756
 Clyde Frazier's Wine and Dine,4.0,209
 Villa Mosconi,4.5,200
Quality Meats,4.5,2378
LandShark Bar & Grill - Times Square,5.0,4
 Il caffe latte,4.5,116
 The Bar Downstairs and Kitchen,4.0,232
 Dos Caminos,4.0,678
 Rattle and Hum,4.0,204
 Cibo e Vino,4.0,160
Quality Italian,4.0,833
 Serafina Broadway,4.0,1697
 Taverna di Bacco,4.5,143
 Mokbar,4.5,136
 La Parisienne,4.5,82
 Walker's,4.5,145
Quality Bistro,4.5,30
 Shuka,4.5,103
 Mike's Bistro,4.5,181
 The Ribbon,4.0,265
 Le Bilboquet,4.0,377
 Da Nico Ristorante-Manhattan Location,4.0,1125
Margaritaville Restaurant- Times Square,3.5,12
 Harry's Italian Pizza Bar,4.0,364
 Thai Market,4.5,172
 D.J. Reynolds,4.0,204
 Patsy's Pizzeria,4.0,236
 DeGrezia Ristorante,4.5,163
5 o'Clock Somewhere Bar,4.0,4
 Grimaldi's,4.0,474
 TBar,4.5,135
 Hummus Kitchen,4.0,161
 Tacuba Hell's Kitchen Cantina Mexicana,4.0,203
 Peacefood Cafe,4.5,107
Quality Meats,4.5,2378
 Sotto 13,4.5,132
 Lusardi's Restaurant,4.5,141
 Metro Grill,4.0,327
 Legends New York City,4.0,343
 Angelo's Pizza,4.0,658
Piccola Cucina Osteria,4.5,2579
Piccola Cucina Osteria,4.5,2579
 PJ Carney's,4.0,206
 Bar Italia,4.0,271
 Da Gennaro Restaurant,4.0,1510
 Daniela Trattoria,4.0,1113
 Dos Caminos,4.0,678
Margaritaville Restaurant- Times Square,3.5,12
 Molly's Pub & Restaurant,4.5,220
 Barn Joo,4.0,169
 Gnocco,4.5,203
 El Parador Cafe,4.5,214
 The Flatiron Room,4.5,181
Quality Bistro,4.5,30
 The Flame Diner,4.0,184
 Don Giovanni Ristorante,4.0,255
 Blue Ribbon Federal Grill,4.5,70
 Indochine,4.0,365
 Patsy's Pizza,4.0,277
5 o'Clock Somewhere Bar,4.0,4
 Tim Ho Wan East Village,4.0,200
 STK Steakhouse,4.0,905
 Patsy's Pizza--74th Street,4.0,318
 Novita,4.0,203
 Valhalla,4.5,112
LandShark Bar & Grill - Times Square,5.0,4
 The National Bar & Dining Rooms,4.0,1069
 Haven Rooftop,4.0,796
 Artichoke Basille's Pizza,4.5,139
 Bella Blu,4.0,281
 Nai Tapas Bar,4.5,120
Maison Bangkok,3.5,6
 Da Umberto,4.5,175
 The Mercer Kitchen,4.0,1504
 Lillie's Victorian Establishment,4.5,168
 Five Senses,4.0,166
 Tavern on Jane,4.5,142
Quality Meats,4.5,2378
LandShark Bar & Grill - Times Square,5.0,4
 Mangia 57th Street,4.0,203
 Sant Ambroeus,4.5,113
 Khe-Yo,4.0,180
 Sofia Wine Bar and Cafe,4.5,124
 Famous Famiglia,4.0,158
ICHIRAN Times Square,4.5,59
 Bombay Grill House,4.5,125
 La Pizza,4.5,163
 Fairway Cafe,4.0,324
 Citizens Of Chelsea,4.5,98
 Applejack Diner,4.0,1089
5 o'Clock Somewhere Bar,4.0,4
 Maison Kayser,4.0,242
 Paul's on Times Square,4.0,221
 Bowery Meat Company,4.0,204
 Empellon,4.0,162
 Rare Chelsea,4.0,404
Quality Bistro,4.5,30
 Le Pain Quotidien,4.0,244
 The Campbell,4.0,254
 Ryan Maguire's Bar & Restaurant,4.5,113
 Luanne's Wild Ginger,4.5,143
 Ajisen Ramen,4.0,173
Piccola Cucina Osteria,4.5,2579
 Houndstooth Pub,4.0,520
 Babbalucci,4.5,117
 Heidelberg Restaurant,4.0,288
 Tom's Restaurant,4.0,649
 Gradisca,4.5,163
Quality Italian,4.0,833
 Kashkaval,4.5,156
 B Squared,4.5,106
 Excuse My French,5.0,64
 Patsy's Pizzeria,4.0,248
 Luna Piena Ristorante,4.5,287
Famous Amadeus Pizza,4.0,44
LandShark Bar & Grill - Times Square,5.0,4
 O'Reilly's Pub & Restaurant,4.0,216
 Hard Rock Cafe,4.0,9154
 Blackwell's Pub and Restaurant,4.5,145
 Totto Ramen,4.5,164
 Laut,4.0,235
Piccola Cucina Osteria,4.5,2579
 Top Hops,4.5,103
 Giano Restaurant,4.5,101
 Tartine,4.0,214
 Indian Project,4.5,160
 Nyonya,4.0,344
5 o'Clock Somewhere Bar,4.0,4
 Saar Indian Bistro,4.5,69
 Dallas BBQ,4.0,515
 Osamil,4.5,64
 Pescatore,4.0,256
 Il Mulino New York - Uptown,4.0,282
Quality Bistro,4.5,30
 Le Zie,4.0,158
 White Oak Tavern,4.5,121
 Palace Restaurant,4.0,216
 Cacio e Vino,4.5,152
 Lavagna,4.5,157
Margaritaville Restaurant- Times Square,3.5,12
 Taverna Kyclades East Village,4.5,167
 Flor De Mayo Restaurant,4.0,171
 Chimichurri Grill,4.0,288
 Pepe Rosso Social,4.5,148
 Starbucks,4.0,289
Quality Italian,4.0,833
 B&H Dairy,4.5,95
 Smith's Bar and Restaurant,4.0,972
 Balvanera,4.5,90
 Mamasita Bar & Grill,4.5,191
 Don't Tell Mama,4.0,357
Famous Amadeus Pizza,4.0,44
Piccola Cucina Osteria,4.5,2579
 Hummus and Pita Co,4.5,113
 Perilla,4.5,203
 Ortzi NYC,4.5,118
 L'ybane,4.0,262
 Angel's Share,4.5,102
LandShark Bar & Grill - Times Square,5.0,4
 Alfie's,4.5,127
 The Brazen Tavern,4.5,91
 Ping's,4.0,297
 Sabai Thai Restaurant,4.5,68
 94 Corner Cafe,4.0,163
Margaritaville Restaurant- Times Square,3.5,12
 Pasta Lovers,4.0,625
 Zio Ristorante,4.5,139
 EN Japanese Brasserie,4.0,328
 Rahi,4.5,83
 Ca Va Todd English,4.0,383
Maison Bangkok,3.5,6
 Z Grill,4.5,104
 Mas (farmhouse),4.5,241
 Rosie's,4.5,126
 Boulton & Watt,4.5,106
 Teddy's Bar and Grill,4.5,97
Quality Italian,4.0,833
 Perrine,4.5,108
 San Marino Ristorante soho,4.5,103
 Maya,4.0,238
 Thursday Kitchen,4.5,63
 Maison Kayser UWS,4.0,221
Quality Bistro,4.5,30
 Little Italy Pizza,4.0,177
 House of Lasagna,4.0,410
 Ulivo,4.5,133
 BoCaphe,4.5,106
 Il Violino,4.0,290
Quality Meats,4.5,2378
Piccola Cucina Osteria,4.5,2579
 Eats,4.0,189
 Il Cantinori,4.5,202
 La Piccola Cucina,4.5,73
 Waverly Diner,4.0,291
 Cafe 28,4.0,217
Quality Meats,4.5,2378
 Shanghai Cafe,4.0,305
 Cowgirl,4.0,265
 Gallow Green,4.0,289
 Macao Trading Company,4.0,219
 Reserve Cut at The Setai,4.5,185
Margaritaville Restaurant- Times Square,3.5,12
 Vapiano,4.0,332
 Star on 18,4.5,129
 Chola,4.0,226
 Mamo Restaurant,4.5,170
 Brass Monkey,4.0,241
LandShark Bar & Grill - Times Square,5.0,4
 Sevilla Restaurant & Bar,4.0,353
 Coco & Cru,4.5,114
 Bill's Townhouse,4.5,145
 I Trulli,4.0,271
 L'Express,4.0,279
5 o'Clock Somewhere Bar,4.0,4
 Bobo,4.0,196
 Bodega Negra,4.0,229
 Carroll Place,4.5,157
 Megu,4.5,141
 Wah Fung Fast Food,4.5,60
Maison Bangkok,3.5,6
 Le Pain Quotidien,4.0,221
 Scruffy Duffys,4.5,73
 Corner Social,4.0,200
 Chipotle Mexican Grill,4.0,245
 McGee's Pub & Restaurant,4.0,1113
Famous Amadeus Pizza,4.0,44
Famous Amadeus Pizza,4.0,44
 Mudville9,4.0,183
 Bistro Vendome,4.5,128
 Jules Bistro,4.0,201
 Lazzara's Pizza Cafe,4.0,210
 Bustan NYC,4.0,159
LandShark Bar & Grill - Times Square,5.0,4
 Akdeniz,4.0,152
 IPPUDO 5TH AVENUE,4.5,87
 Caliente Cab,4.0,289
 Hudson Clearwater,4.0,206
 Brunetti Pizza,4.5,129
Quality Bistro,4.5,30
 Radio City Pizza,4.5,119
 Barbetta,4.0,538
 Antonucci Cafe,4.5,147
 Cafe Katja,4.5,113
 Mermaid Inn,4.0,208
Margaritaville Restaurant- Times Square,3.5,12
 El Quijote,4.0,303
 Toloache,4.5,119
 Wonton Noodle Garden,4.0,187
 Thaimee Table,4.5,148
 Raines Law Room,4.5,189
Quality Italian,4.0,833
 The Pickle Guys,4.5,101
 Old Homestead Steakhouse,4.0,1193
 Playwright Tavern & Restaurant,4.0,371
 Balade,4.5,172
 Lallisse Mediterranean Wine & Food,4.5,122
ICHIRAN Times Square,4.5,59
 California Pizza Kitchen,4.0,241
 Seasoned Vegan,4.5,109
 Byblos Restaurant,4.5,150
 Galli,4.0,245
 Hole In The Wall,4.5,88
Piccola Cucina Osteria,4.5,2579
LandShark Bar & Grill - Times Square,5.0,4
 Frankie & Johnnie's Steakhouse,4.0,619
 Outback Steakhouse,4.0,527
 The Strand Bistro,4.5,196
 Bryant Park Cafe,4.0,266
 The Horny Ram,4.5,60
Maison Bangkok,3.5,6
 The Palm Court,4.0,1213
 Salinas,4.0,269
 Whole Foods Market,4.5,126
 Table D'Hote,4.5,100
 Dallas BBQ Times Square,4.0,3615
Quality Meats,4.5,2378
 Benny's Burritos,4.0,169
 Sant Ambroeus,4.0,221
 Caravaggio Restaurant,4.5,209
 Milon Restaurant,4.0,221
 Timna,4.5,71
Quality Bistro,4.5,30
 Hu Kitchen,4.5,200
 Orsay,4.0,354
 View Of The World,4.5,118
 Pearl Street Diner,4.0,269
 Mercado Little Spain,4.0,235
Famous Amadeus Pizza,4.0,44
 Public,4.0,431
 EuroPan Cafe,4.0,317
 Hwa Yuan,4.5,77
 Neapolitan Express,4.5,110
 Arco Cafe,4.5,164
Piccola Cucina Osteria,4.5,2579
 Dunhill Cafe & Caterers,4.0,135
 Emmett's,4.5,104
 Ricardo Steakhouse,4.5,140
 Bareburger - Columbus Circle,4.5,103
 Urban Vegan Kitchen,4.5,58
Margaritaville Restaurant- Times Square,3.5,12
Margaritaville Restaurant- Times Square,3.5,12
 Pizzeria Sirenetta,4.5,81
 Speedy's Fresh Food Cafe,4.0,168
 Tavern 29,4.0,179
 Ivy,4.0,172
 810 Deli Incorporated,4.0,401
Piccola Cucina Osteria,4.5,2579
 Murphy's Tavern,4.0,175
 A Pasta Bar,4.5,131
 Good Stuff Diner,4.0,179
 Society Cafe,4.5,68
 Cafe Europa,4.0,380
LandShark Bar & Grill - Times Square,5.0,4
 The East Pole,4.0,184
 Meme Mediterranean,4.5,156
 Ravagh Persian Grill,4.0,171
 Bocca Di Bacco,4.0,138
 Gabby O'Hara's,4.5,120
Quality Bistro,4.5,30
 Vai,4.5,140
 Vietnaam Restaurant,4.0,111
 Gyu-Kaku Japanese BBQ,4.0,278
 Lokal Mediterranean kitchen,4.5,86
 The Pembroke Room,4.5,95
5 o'Clock Somewhere Bar,4.0,4
 Fish Cheeks,4.5,58
 Le Pain Quotidien,4.0,228
 Lilly's craft and kitchen,4.0,121
 Ali Baba Turkish Cuisine,4.0,264
 Petrossian Boutique & Cafe,4.5,173
Quality Meats,4.5,2378
 Tribeca Bagels,4.5,100
 Famiglia Pizzeria,4.0,164
 Mulligan's Pub,4.0,209
 Tick Tock Diner NY,4.0,3947
 Freds Madison Avenue,4.0,311
Quality Italian,4.0,833
Quality Bistro,4.5,30
 Sake Bar Hagi,4.0,252
 Le Marais,4.0,552
 biricchino,4.0,173
 San Matteo Pizzeria e Cucina,4.5,118
 ABCV,4.5,88
Quality Italian,4.0,833
 The Bao,4.0,126
 SuteiShi,4.5,131
 Broadstone Bar & Kitchen,4.0,132
 Jeffrey's Grocery,4.5,159
 Gino Sorbillo Pizzeria,4.0,159
LandShark Bar & Grill - Times Square,5.0,4
 Nomad Restaurant,4.0,173
 Majorelle,4.5,76
 The Grill,4.0,149
 Mr. Taka Ramen,4.5,82
 Pig 'N' Whistle Public House,4.0,219
Quality Meats,4.5,2378
 Qi Thai Comfort Food,4.0,254
 Pig 'N' Whistle On 36th,4.0,192
 Cipriani Dolci,4.0,392
 Ichiumi,4.0,797
 Arabesque,4.5,172
Piccola Cucina Osteria,4.5,2579
 Spunto,4.5,103
 Dos Toros Taqueria,4.5,158
 Little Prince,4.0,178
 Catch NYC,4.0,1679
 John Sullivan's Bar & Grill,4.0,192
Margaritaville Restaurant- Times Square,3.5,12
 Minton's,4.5,144
 Corkbuzz,4.5,119
 Rosario's Pizzeria,4.5,105
 Le Pain Quotidien,4.0,315
 The Pennsy,4.0,174
Famous Amadeus Pizza,4.0,44
Piccola Cucina Osteria,4.5,2579
 Brother Jimmy's BBQ,4.0,252
 The Edge Harlem,4.5,89
 Turkish Cuisine,4.0,256
 Distilled,4.5,135
 Bareburger - Financial District,4.0,145
ICHIRAN Times Square,4.5,59
 Joe Jr,4.5,81
 Tulsi,4.0,232
 JG Melons,4.0,203
 Crave Fishbar Upper West Side,4.5,110
 Bailey Pub and Brasserie,4.0,198
Quality Meats,4.5,2378
 Jin Ramen,4.5,144
 Morton's The Steakhouse,4.0,225
 Hop Kee Restaurant,4.0,321
 Vinateria,4.5,125
 Gabriel's,4.0,236
Margaritaville Restaurant- Times Square,3.5,12
 Vintry Wine and Whiskey,4.5,86
 Barawine,4.0,161
 Barolo East,4.5,55
 456 Shanghai Cuisine,4.0,459
 Serafina Always,4.0,326
LandShark Bar & Grill - Times Square,5.0,4
 Kellogg's NYC,4.5,139
 Amaranth Restaurant,4.0,244
 Cornerstone Cafe,4.5,119
 Simo,5.0,37
 Pasta Eater,4.5,47
Famous Amadeus Pizza,4.0,44
 Elephant & Castle,4.0,172
 Feile,4.0,155
 Souvlaki GR,4.0,181
 Wolf & Lamb Steakhouse,4.0,185
 Racines,4.5,98
Quality Bistro,4.5,30
Quality Bistro,4.5,30
 Claw Daddy’s,4.5,111
 Montebello,4.0,142
 Ruby Tuesday,4.0,2200
 The Meatball Shop - Upper East Side,4.0,152
